phi the  : 1274
twenty voices  : 1
kill a  : 2
naked cub  : 2
is shame  : 1
make better  : 1
better sport  : 1
sport for  : 1
is grown  : 1
phi baloo  : 13
his behalf  : 1
behalf .  : 1
to baloo  : 4
baloo 's  : 4
's word  : 1
add one  : 1
one bull  : 1
bull ,  : 3
fat one  : 1
, newly  : 1
newly killed  : 2
if ye  : 4
ye will  : 7
accept the  : 1
cub according  : 1
it difficult  : 2
difficult ?  : 1
a clamor  : 1
clamor of  : 1
of scores  : 1
voices ,  : 2
what matter  : 1
winter rains  : 1
rains .  : 1
will scorch  : 1
scorch in  : 1
harm can  : 1
naked frog  : 1
frog do  : 1
do us  : 2
us ?  : 5
, bagheera  : 14
bagheera ?  : 2
came akela  : 1
akela 's  : 2
's deep  : 2
deep bay  : 1
mowgli was  : 12
deeply interested  : 1
pebbles ,  : 1
notice when  : 1
wolves came  : 2
him one  : 1
hill for  : 1
dead bull  : 1
only akela  : 2
, baloo  : 6
own wolves  : 1
were left  : 2
khan roared  : 2
roared still  : 1
angry that  : 2
that mowgli  : 8
mowgli had  : 8
been handed  : 1
`` ay  : 2
ay ,  : 1
, roar  : 1
roar well  : 1
said bagheera  : 31
this naked  : 1
naked thing  : 1
thing will  : 2
make thee  : 3
thee roar  : 1
another tune  : 1
tune ,  : 1
well done  : 5
`` men  : 1
their cubs  : 1
a help  : 2
`` truly  : 1
of need  : 2
need ;  : 1
for none  : 2
none can  : 1
can hope  : 2
pack forever  : 1
forever ,  : 1
akela said  : 1
every leader  : 1
leader of  : 4
every pack  : 1
pack when  : 1
strength goes  : 1
goes from  : 1
gets feebler  : 1
feebler and  : 1
and feebler  : 2
feebler ,  : 1
is killed  : 1
killed by  : 2
new leader  : 1
leader comes  : 1
and train  : 1
train him  : 1
as befits  : 2
befits one  : 1
is how  : 2
how mowgli  : 2
was entered  : 2
seeonee wolf  : 3
wolf pack  : 6
pack for  : 1
the price  : 3
price of  : 2
a bull  : 6
bull and  : 1
on baloo  : 2
good word  : 1
be content  : 1
to skip  : 1
skip ten  : 1
ten or  : 2
or eleven  : 1
eleven whole  : 1
whole years  : 1
only guess  : 1
guess at  : 1
wonderful life  : 1
mowgli led  : 1
led among  : 1
because if  : 2
were written  : 1
written out  : 1
out it  : 1
would fill  : 1
fill ever  : 1
were grown  : 1
grown wolves  : 1
wolves almost  : 1
almost before  : 3
wolf taught  : 1
till every  : 1
every rustle  : 1
rustle in  : 1
warm night  : 1
night air  : 2
the owls  : 1
owls above  : 1
every scratch  : 1
scratch of  : 2
bat 's  : 2
claws as  : 1
it roosted  : 1
roosted for  : 1
every splash  : 1
splash of  : 1
little fish  : 1
fish jumping  : 1
jumping in  : 1
a pool  : 2
pool meant  : 1
meant just  : 1
office means  : 1
a business  : 1
business man  : 1
not learning  : 1
learning he  : 1
sat out  : 1
felt dirty  : 1
dirty or  : 1
or hot  : 1
hot he  : 1
he swam  : 5
forest pools  : 1
pools ;  : 1
wanted honey  : 1
honey -lrb-  : 1
-lrb- baloo  : 1
baloo told  : 1
that honey  : 1
honey and  : 1
nuts were  : 1
as pleasant  : 1
pleasant to  : 3
eat as  : 1
as raw  : 1
raw meat  : 2
meat -rrb-  : 1
that bagheera  : 3
bagheera showed  : 2
phi bagheera  : 13
bagheera would  : 2
would lie  : 2
lie out  : 1
branch and  : 1
and call  : 2
first mowgli  : 1
mowgli would  : 8
would cling  : 1
cling like  : 1
the sloth  : 1
sloth ,  : 1
but afterward  : 1
would fling  : 2
fling himself  : 1
himself through  : 1
as boldly  : 1
boldly as  : 1
the gray  : 5
gray ape  : 2
ape .  : 2
pack met  : 1
stared hard  : 1
be forced  : 1
drop his  : 1
to stare  : 2
stare for  : 1
for fun  : 3
would pick  : 1
long thorns  : 1
thorns out  : 1
the pads  : 1
pads of  : 1
for wolves  : 1
wolves suffer  : 1
suffer terribly  : 1
terribly from  : 1
from thorns  : 1
thorns and  : 1
and burs  : 1
burs in  : 1
their coats  : 1
coats .  : 1
the hillside  : 4
hillside into  : 1
the cultivated  : 1
cultivated lands  : 1
lands by  : 1
very curiously  : 1
curiously at  : 1
villagers in  : 1
their huts  : 2
huts ,  : 1
a mistrust  : 1
mistrust of  : 1
men because  : 1
because bagheera  : 1
square box  : 1
drop gate  : 2
gate so  : 1
so cunningly  : 1
cunningly hidden  : 2
jungle that  : 5
nearly walked  : 1
walked into  : 1
loved better  : 1
with bagheera  : 1
bagheera into  : 1
dark warm  : 1
warm heart  : 1
the drowsy  : 1
drowsy day  : 1
night see  : 1
how bagheera  : 1
bagheera did  : 1
his killing  : 1
killing .  : 2
bagheera killed  : 1
killed right  : 1
left as  : 1
did mowgli  : 1
one exception  : 1
was old  : 4
understand things  : 1
bagheera told  : 1
must never  : 2
touch cattle  : 1
cattle because  : 1
been bought  : 1
bought into  : 2
pack at  : 2
bull 's  : 1
jungle is  : 5
is thine  : 1
thine ,  : 2
and thou  : 5
thou canst  : 3
canst kill  : 1
kill everything  : 1
that thou  : 14
thou art  : 24
art strong  : 1
kill ;  : 2
that bought  : 5
bought thee  : 1
thee thou  : 1
thou must  : 3
never kill  : 1
kill or  : 1
eat any  : 1
cattle young  : 1
young or  : 1
jungle .  : 19
mowgli obeyed  : 1
obeyed faithfully  : 1
faithfully .  : 1
grew and  : 4
grow who  : 1
is learning  : 1
learning any  : 1
any lessons  : 1
of except  : 1
except things  : 1
wolf told  : 1
twice that  : 1
that shere  : 4
a creature  : 1
be trusted  : 2
trusted ,  : 1
must kill  : 1
kill shere  : 1
that advice  : 2
advice every  : 1
, mowgli  : 13
mowgli forgot  : 1
called himself  : 1
wolf if  : 1
human tongue  : 1
always crossing  : 1
crossing his  : 1
path in  : 1
as akela  : 3
akela grew  : 1
feebler the  : 1
lame tiger  : 3
tiger had  : 2
be great  : 1
younger wolves  : 1
who followed  : 1
for scraps  : 1
scraps ,  : 1
thing akela  : 1
akela would  : 1
have allowed  : 1
allowed if  : 1
had dared  : 1
push his  : 1
his authority  : 1
authority to  : 1
proper bounds  : 1
bounds .  : 1
then shere  : 2
khan would  : 4
would flatter  : 1
flatter them  : 1
such fine  : 1
fine young  : 1
young hunters  : 1
hunters were  : 1
were content  : 1
be led  : 1
led by  : 1
dying wolf  : 1
they tell  : 2
'' shere  : 2
at council  : 1
council ye  : 1
ye dare  : 1
look him  : 3
wolves would  : 1
would growl  : 1
growl and  : 1
and bristle  : 1
bristle .  : 1
had eyes  : 1
and ears  : 1
ears everywhere  : 1
everywhere ,  : 5
, knew  : 2
knew something  : 2
twice he  : 2
told mowgli  : 3
mowgli in  : 3
in so  : 1
many words  : 1
would laugh  : 1
and answer  : 1
answer :  : 1
have thee  : 1
thee ;  : 2
and baloo  : 6
so lazy  : 1
lazy ,  : 1
strike a  : 1
blow or  : 1
two for  : 2
my sake  : 1
afraid ?  : 2
one very  : 1
warm day  : 1
new notion  : 1
notion came  : 1
bagheera --  : 4
-- born  : 1
born of  : 1
perhaps ikki  : 1
ikki the  : 2
the porcupine  : 3
porcupine had  : 1
to mowgli  : 5
mowgli when  : 1
were deep  : 1
boy lay  : 2
on bagheera  : 2
bagheera 's  : 11
beautiful black  : 1
black skin  : 1
`` little  : 4
how often  : 1
often have  : 1
told thee  : 3
thee that  : 1
khan is  : 3
is thy  : 2
thy enemy  : 1
enemy ?  : 1
are nuts  : 1
nuts on  : 1
that palm  : 1
palm ,  : 1
said mowgli  : 40
mowgli ,  : 38
, naturally  : 1
naturally ,  : 1
not count  : 1
what of  : 3
am sleepy  : 1
and shere  : 2
all long  : 1
and loud  : 1
loud talk  : 1
talk --  : 1
like mao  : 2
mao ,  : 2
the peacock  : 3
peacock .  : 2
for sleeping  : 1
sleeping .  : 1
baloo knows  : 1
pack know  : 1
foolish ,  : 4
, foolish  : 4
foolish deer  : 1
deer know  : 1
tabaqui has  : 1
thee too  : 1
`` ho  : 3
ho !  : 10
phi ho  : 7
mowgli .  : 24
tabaqui came  : 2
me not  : 1
ago with  : 1
some rude  : 1
rude talk  : 1
talk that  : 1
naked man  : 1
cub and  : 1
to dig  : 4
dig pig-nuts  : 1
pig-nuts .  : 1
i caught  : 1
caught tabaqui  : 1
tabaqui by  : 1
and swung  : 2
swung him  : 2
him twice  : 1
twice against  : 1
a palm-tree  : 1
palm-tree to  : 1
to teach  : 8
him better  : 1
better manners  : 1
manners .  : 3
was foolishness  : 1
foolishness ,  : 1
for though  : 2
though tabaqui  : 1
a mischief-maker  : 1
mischief-maker ,  : 1
thee of  : 1
that concerned  : 1
concerned thee  : 1
thee closely  : 1
phi open  : 1
open those  : 1
khan dare  : 1
kill thee  : 3
thee in  : 3
, akela  : 17
akela is  : 1
comes when  : 1
kill his  : 2
his buck  : 1
buck ,  : 1
be leader  : 1
leader no  : 1
wolves that  : 3
looked thee  : 1
thee over  : 1
over when  : 1
thou wast  : 3
wast brought  : 1
council first  : 1
first are  : 1
old too  : 1
wolves believe  : 1
believe ,  : 5
as shere  : 1
khan has  : 2
a man-cub  : 3
man-cub has  : 1
time thou  : 2
wilt be  : 1
born in  : 3
have obeyed  : 1
no wolf  : 1
ours from  : 1
whose paws  : 1
paws i  : 1
not pulled  : 1
pulled a  : 1
a thorn  : 1
thorn .  : 1
surely they  : 1
bagheera stretched  : 2
length and  : 1
`` feel  : 2
feel under  : 1
under my  : 4
mowgli put  : 1
his strong  : 1
strong brown  : 1
under bagheera  : 1
's silky  : 1
silky chin  : 1
giant rolling  : 1
rolling muscles  : 1
muscles were  : 1
all hid  : 1
hid by  : 1
the glossy  : 2
glossy hair  : 1
that knows  : 1
, carry  : 1
carry that  : 1
that mark  : 1
mark --  : 1
the mark  : 1
mark of  : 1
the collar  : 1
collar ;  : 1
born among  : 3
among men  : 6
was among  : 2
men that  : 5
the cages  : 1
cages of  : 1
palace at  : 1
at oodeypore  : 1
oodeypore .  : 1
i paid  : 2
for thee  : 9
thee at  : 2
council when  : 1
wast a  : 1
i too  : 1
they fed  : 1
fed me  : 1
me behind  : 1
behind bars  : 1
bars from  : 1
iron pan  : 1
pan till  : 1
panther --  : 2
's plaything  : 1
plaything ,  : 1
silly lock  : 1
lock with  : 1
my paw  : 1
paw and  : 2
had learned  : 4
i became  : 1
jungle than  : 1
than shere  : 2
so ?  : 3
jungle fear  : 1
fear bagheera  : 1
except mowgli  : 1
, thou  : 6
art a  : 10
panther very  : 1
very tenderly  : 1
my jungle  : 1
so thou  : 2
to men  : 3
men at  : 1
are thy  : 1
thy brothers  : 1
brothers --  : 1
if thou  : 4
art not  : 1
not killed  : 2
should any  : 1
any wish  : 1
mowgli looked  : 3
him steadily  : 1
steadily between  : 1
big panther  : 1
panther turned  : 1
in half  : 1
, shifting  : 2
shifting his  : 1
his paw  : 1
paw on  : 1
even i  : 2
can look  : 2
look thee  : 1
thee between  : 1
love thee  : 3
others they  : 1
they hate  : 1
hate thee  : 1
thee because  : 1
because their  : 2
eyes can  : 1
meet thine  : 1
; because  : 2
because thou  : 5
art wise  : 1
wise ;  : 1
hast pulled  : 1
out thorns  : 1
thorns from  : 1
-- because  : 2
know these  : 1
mowgli sullenly  : 1
sullenly ,  : 1
he frowned  : 1
frowned under  : 1
his heavy  : 1
heavy black  : 1
black eyebrows  : 1
eyebrows .  : 1
jungle ?  : 3
phi strike  : 1
strike first  : 1
give tongue  : 2
by thy  : 2
thy very  : 1
very carelessness  : 1
carelessness they  : 1
be wise  : 1
when akela  : 2
akela misses  : 1
misses his  : 1
next kill  : 2
kill --  : 2
each hunt  : 1
it costs  : 1
costs him  : 1
to pin  : 1
pin the  : 1
the buck  : 2
buck --  : 1
turn against  : 1
and against  : 1
against thee  : 1
will hold  : 1
a jungle  : 2
jungle council  : 1
council at  : 1
, leaping  : 2
leaping up  : 2
go thou  : 1
thou down  : 1
's huts  : 1
huts in  : 2
flower which  : 2
they grow  : 2
grow there  : 1
comes thou  : 1
thou mayest  : 3
mayest have  : 1
have even  : 1
a stronger  : 1
stronger friend  : 1
friend than  : 1
or baloo  : 2
baloo or  : 1
or those  : 1
pack that  : 1
flower bagheera  : 1
bagheera meant  : 1
meant fire  : 1
no creature  : 1
jungle will  : 2
call fire  : 1
fire by  : 1
its proper  : 1
proper name  : 1
beast lives  : 1
in deadly  : 1
deadly fear  : 1
and invents  : 1
invents a  : 1
hundred ways  : 1
of describing  : 1
describing it  : 1
flower ?  : 1
grows outside  : 1
there speaks  : 1
speaks the  : 1
bagheera proudly  : 1
it grows  : 1
grows in  : 1
in little  : 1
little pots  : 1
pots .  : 1
one swiftly  : 1
swiftly ,  : 1
by thee  : 1
thee for  : 2
but art  : 1
art thou  : 6
thou sure  : 2
my bagheera  : 1
bagheera ''  : 1
slipped his  : 1
arm around  : 2
splendid neck  : 1
looked deep  : 1
big eyes  : 3
`` art  : 2
is shere  : 1
's doing  : 1
broken lock  : 2
lock that  : 2
that freed  : 2
freed me  : 2
bought me  : 4
pay shere  : 1
khan full  : 1
full tale  : 1
tale for  : 1
little over  : 1
he bounded  : 2
bounded away  : 2
bagheera to  : 4
a blacker  : 1
blacker hunting  : 1
hunting than  : 1
that frog-hunt  : 1
frog-hunt of  : 1
of thine  : 2
thine ten  : 1
far through  : 2
running hard  : 1
cave as  : 1
evening mist  : 1
mist rose  : 1
drew breath  : 1
cubs were  : 1
but mother  : 1
his breathing  : 1
breathing that  : 1
was troubling  : 1
troubling her  : 1
her frog  : 1
, son  : 2
some bat  : 1
's chatter  : 1
chatter of  : 1
i hunt  : 1
the plowed  : 3
plowed fields  : 1
fields tonight  : 1
plunged downward  : 1
downward through  : 1
stream at  : 1
checked ,  : 1
the yell  : 1
yell of  : 1
pack hunting  : 1
the bellow  : 1
bellow of  : 1
a hunted  : 1
hunted sambhur  : 1
sambhur ,  : 1
the snort  : 1
snort as  : 1
buck turned  : 1
turned at  : 1
bay .  : 1
were wicked  : 1
, bitter  : 1
bitter howls  : 1
howls from  : 1
wolves :  : 1
`` akela  : 3
akela !  : 8
wolf show  : 1
phi room  : 1
the leader  : 2
pack !  : 3
phi spring  : 1
wolf must  : 1
have sprung  : 1
sprung and  : 1
missed his  : 2
his hold  : 1
mowgli heard  : 3
the snap  : 1
snap of  : 1
teeth and  : 3
yelp as  : 1
sambhur knocked  : 1
his forefoot  : 1
forefoot .  : 1
but dashed  : 1
dashed on  : 1
the yells  : 2
yells grew  : 1
fainter behind  : 1
the croplands  : 2
croplands where  : 1
villagers lived  : 2
`` bagheera  : 2
bagheera spoke  : 1
spoke truth  : 1
he panted  : 3
panted ,  : 1
he nestled  : 1
nestled down  : 1
cattle fodder  : 1
fodder by  : 1
`` to-morrow  : 1
to-morrow is  : 1
for akela  : 1
akela and  : 2
face close  : 1
fire on  : 2
hearth .  : 1
the husbandman  : 1
husbandman 's  : 1
wife get  : 1
and feed  : 1
feed it  : 1
black lumps  : 1
lumps .  : 1
mists were  : 1
all white  : 1
child pick  : 1
a wicker  : 1
wicker pot  : 1
pot plastered  : 1
plastered inside  : 1
inside with  : 1
with earth  : 1
, fill  : 1
with lumps  : 1
lumps of  : 1
of red-hot  : 1
red-hot charcoal  : 1
charcoal ,  : 1
his blanket  : 1
blanket ,  : 1
to tend  : 1
tend the  : 1
cows in  : 1
the byre  : 1
byre .  : 1
strode round  : 1
and met  : 1
pot from  : 1
mist while  : 1
boy howled  : 1
howled with  : 2
, blowing  : 4
blowing into  : 1
pot as  : 1
woman do  : 1
it things  : 1
'' ;  : 2
he dropped  : 3
dropped twigs  : 1
twigs and  : 2
dried bark  : 1
bark on  : 1
red stuff  : 2
phi halfway  : 1
halfway up  : 1
met bagheera  : 1
bagheera with  : 1
morning dew  : 1
dew shining  : 1
shining like  : 1
like moonstones  : 1
moonstones on  : 1
akela has  : 1
panther .  : 1
him last  : 1
needed thee  : 1
thee also  : 1
thee on  : 1
plowed lands  : 2
mowgli held  : 1
the fire-pot  : 1
fire-pot .  : 1
seen men  : 1
men thrust  : 1
thrust a  : 1
dry branch  : 1
branch into  : 2
flower blossomed  : 1
blossomed at  : 1
phi art  : 2
thou not  : 3
fear ?  : 1
i remember  : 1
remember now  : 1
was warm  : 1
and pleasant  : 2
day mowgli  : 2
mowgli sat  : 2
cave tending  : 1
tending his  : 1
his fire  : 1
fire pot  : 4
pot and  : 1
dipping dry  : 1
branches into  : 1
looked .  : 3
branch that  : 2
that satisfied  : 1
satisfied him  : 1
when tabaqui  : 1
him rudely  : 1
rudely enough  : 1
enough that  : 1
was wanted  : 1
wanted at  : 1
laughed till  : 1
till tabaqui  : 1
tabaqui ran  : 1
then mowgli  : 2
mowgli went  : 7
still laughing  : 1
akela the  : 1
rock as  : 1
sign that  : 1
the leadership  : 3
leadership of  : 2
pack was  : 1
khan with  : 1
his following  : 1
following of  : 1
of scrap-fed  : 1
scrap-fed wolves  : 1
wolves walked  : 1
fro openly  : 1
openly being  : 1
being flattered  : 1
flattered .  : 1
bagheera lay  : 1
lay close  : 1
was between  : 1
between mowgli  : 1
's knees  : 1
all gathered  : 2
gathered together  : 2
khan began  : 2
do when  : 2
akela was  : 1
his prime  : 1
prime .  : 1
whispered bagheera  : 1
`` say  : 2
mowgli sprang  : 1
`` free  : 2
khan lead  : 1
pack ?  : 1
with our  : 1
our leadership  : 1
leadership ?  : 1
`` seeing  : 1
leadership is  : 1
is yet  : 1
yet open  : 1
being asked  : 1
by whom  : 1
whom ?  : 1
all jackals  : 1
jackals ,  : 1
to fawn  : 1
fawn on  : 1
this cattle  : 1
cattle butcher  : 1
butcher ?  : 1
pack is  : 1
pack alone  : 1
were yells  : 1
yells of  : 2
`` silence  : 1
thou man  : 1
him speak  : 1
our law  : 1
law ''  : 1
the seniors  : 1
seniors of  : 1
pack thundered  : 1
thundered :  : 1
dead wolf  : 2
wolf speak  : 1
a leader  : 5
pack has  : 2
his kill  : 1
wolf as  : 1
akela raised  : 1
old head  : 1
head wearily  : 1
ye too  : 1
, jackals  : 1
jackals of  : 1
twelve seasons  : 1
seasons i  : 1
have led  : 1
led ye  : 1
ye to  : 3
the kill  : 2
time not  : 1
been trapped  : 1
trapped or  : 1
or maimed  : 1
maimed .  : 1
have missed  : 1
missed my  : 1
my kill  : 2
kill .  : 5
that plot  : 1
plot was  : 1
how ye  : 1
ye brought  : 1
an untried  : 1
untried buck  : 1
buck to  : 1
make my  : 2
my weakness  : 1
weakness known  : 1
was cleverly  : 1
cleverly done  : 1
right is  : 1
who comes  : 3
wolf ?  : 2
that ye  : 4
ye come  : 1
come one  : 1
long hush  : 1
hush ,  : 1
no single  : 1
single wolf  : 1
wolf cared  : 1
fight akela  : 1
akela to  : 1
roared :  : 1
`` bah  : 2
bah !  : 3
have we  : 1
this toothless  : 1
toothless fool  : 1
is doomed  : 1
the man-cub  : 10
man-cub who  : 1
has lived  : 1
lived too  : 2
phi free  : 1
my meat  : 1
meat from  : 1
am weary  : 1
this man-wolf  : 1
man-wolf folly  : 1
has troubled  : 1
troubled the  : 1
ten seasons  : 2
seasons .  : 1
man-cub ,  : 6
hunt here  : 3
here always  : 1
one bone  : 1
the marrow  : 1
marrow of  : 1
bones i  : 1
hate him  : 1
then more  : 1
pack yelled  : 2
yelled :  : 1
own place  : 2
turn all  : 1
the villages  : 1
villages against  : 1
phi clamored  : 1
clamored shere  : 1
us can  : 1
akela lifted  : 1
head again  : 2
has eaten  : 1
eaten our  : 1
our food  : 1
has slept  : 2
slept with  : 1
has driven  : 1
driven game  : 1
game for  : 1
has broken  : 1
broken no  : 1
`` also  : 1
bull when  : 1
was accepted  : 1
the worth  : 1
worth of  : 1
bull is  : 1
is little  : 1
but bagheera  : 1
's honor  : 1
honor is  : 1
will perhaps  : 1
perhaps fight  : 1
fight for  : 3
bagheera in  : 2
his gentlest  : 1
gentlest voice  : 1
bull paid  : 1
paid ten  : 1
pack snarled  : 1
snarled .  : 1
do we  : 2
we care  : 1
for bones  : 1
bones ten  : 1
old ?  : 1
`` or  : 2
or for  : 1
a pledge  : 1
pledge ?  : 1
teeth bared  : 1
bared under  : 1
his lip  : 2
lip .  : 2
well are  : 1
are ye  : 2
ye called  : 2
can run  : 1
'' howled  : 1
howled shere  : 1
but blood  : 1
'' akela  : 1
akela went  : 1
ye would  : 1
him here  : 2
in truth  : 1
of ye  : 1
ye are  : 4
are eaters  : 1
eaters of  : 2
others i  : 1
under shere  : 1
's teaching  : 1
teaching ,  : 1
ye go  : 1
by dark  : 1
dark night  : 3
and snatch  : 1
snatch children  : 1
children from  : 1
the villager  : 1
villager 's  : 1
's doorstep  : 1
know ye  : 1
be cowards  : 1
cowards ,  : 1
to cowards  : 1
cowards i  : 1
is certain  : 1
no worth  : 1
would offer  : 1
offer that  : 1
man-cub 's  : 1
the honor  : 3
honor of  : 4
, --  : 22
being without  : 1
leader ye  : 1
ye let  : 1
man-cub go  : 1
when my  : 1
bare one  : 1
tooth against  : 1
against ye  : 1
ye .  : 1
die without  : 1
without fighting  : 1
least save  : 1
pack three  : 1
three lives  : 1
can save  : 1
save ye  : 1
the shame  : 1
shame that  : 1
killing a  : 2
brother against  : 1
against whom  : 1
whom there  : 1
